ModelName,testAccuracy,testF1,testPrecision,testRecall
oneSVM_rbf,0.531961866532865,0.5313804598486456,0.532233481446107,0.5320612094424987
oneSVM_poly3,0.5138986452584045,0.5135494191994642,0.5140193455059288,0.5139750157944831
SVM_lin,0.6226793778223784,0.6226436225116478,0.6227698067181944,0.6227103236221498
SVM_poly3,0.6049172102358253,0.6049159211556399,0.6049299690617835,0.604926545382009
SVM_poly4,0.596588058203713,0.5957819727314557,0.597199741029649,0.5964714415927992
SVM_rbf,0.6200702458605117,0.619879885739959,0.6204058285849291,0.6201354321533299
IsoFor,0.5282488710486704,0.5040773079112619,0.5342501523109254,0.5276545647868667
DecTre_vanilla,0.5483191169091821,0.548278921962488,0.5483708629288198,0.5483487010981294
DecTre_depth100,0.5483191169091821,0.548278921962488,0.5483708629288198,0.5483487010981294
